,Name,Price,Size,Age,Floors,Bedroom,Location,Tags,Time
0,英明國中一樓整新門口停車美寓,12600000 NT$,19.73 坪,43.3 年,1,3,高雄市,"免爬樓梯, 裝潢美宅, 近輕軌站, 近商圈",
1,輕軌凱旋二聖站翻新面寬店住一樓+夾層,12600000 NT$,23.82 坪,43.7 年,1,3,高雄市,"廁所開窗, 雙衛浴, 免爬樓梯, 裝潢美宅",
2,市政府 國民市場全翻新大兩房雙衛浴美寓,6980000 NT$,21.77 坪,44.8 年,3,2,高雄市,"雙衛浴, 裝潢美宅, 近商圈",
3,武廟商圈公寓一樓平車,13800000 NT$,40.5 坪,40.4 年,1,4,高雄市,"平面車位, 免爬樓梯, 近交流道, 近商圈",
4,武廟\/福德商圈4+5樓寧靜美公寓,3980000 NT$,14.74 坪,55.6 年,4,3,高雄市,近商圈,
5,英明國中超值店面超美住宅﹝騎樓可停車﹞,12600000 NT$,23.82 坪,43.7 年,1,3,高雄市,"免爬樓梯, 裝潢美宅, 近學區",
6,正文化中心邊間三角窗吃市店面,23990000 NT$,20.79 坪,44.7 年,1,0,高雄市,"邊間, 宜收租, 免爬樓梯, 近商圈",
7,捷運商圈新整美寓,3880000 NT$,14 坪,45.1 年,5,2,高雄市,近商圈,
8,C30科工館站質感翻新三房,5980000 NT$,22.72 坪,44.4 年,5,3,高雄市,"採光佳, 宜收租, 裝潢美宅",
9,1113苓雅區✨英明商圈✨超便宜公寓2樓,4200000 NT$,22.1 坪,47.1 年,2,3,高雄市,"近輕軌站, 近學區, 近商圈",
10,正義車站優質公寓3房,4980000 NT$,20.35 坪,44.9 年,4,3,高雄市,近學區,
11,武廟雙捷運三房+平面車位,13800000 NT$,40.5 坪,40.1 年,1,3,高雄市,"平面車位, 免爬樓梯, 邊間, 近交流道",
12,光華商圈翻新一樓車庫美寓,13600000 NT$,23.31 坪,48.1 年,1,3,高雄市,"邊間, 免爬樓梯, 裝潢美宅, 大面寬, 近商圈",
13,凱旋輕軌三面採光3套房大公寓,5880000 NT$,24.27 坪,45 年,4,3,高雄市,"三面採光, 前後陽台, 永久棟距, 近學區, 格局方正",
14,文化中心美3房,4680000 NT$,18.61 坪,46.2 年,3,3,高雄市,,
15,衛武營全新翻修大3房,6380000 NT$,27.22 坪,45.8 年,5,3,高雄市,"廁所開窗, 雙衛浴, 裝潢美宅, 近學區",
16,輕軌環球影城四房邊間公寓一樓\t\t\t\t\t\t\t\t\t\t\t,14600000 NT$,21.21 坪,29.6 年,1,3,高雄市,"採光佳, 邊間, 免爬樓梯, 近商圈",
17,✨亞洲新灣區｜輕軌宅 ｜價格超甜✨ 4房美寓️,7580000 NT$,30.86 坪,36.5 年,4,4,高雄市,"近捷運, 近輕軌站, 近商圈",
