Title,Link
英明國中一樓整新門口停車美寓,https://www.rakuya.com.tw/sell_item/info?ehid=06aeeb267324174&from=list_regular
輕軌凱旋二聖站翻新面寬店住一樓+夾層,https://www.rakuya.com.tw/sell_item/info?ehid=054740263136103&from=list_regular
市政府 國民市場全翻新大兩房雙衛浴美寓,https://www.rakuya.com.tw/sell_item/info?ehid=0f306727999139c&from=list_regular
武廟商圈公寓一樓平車,https://www.rakuya.com.tw/sell_item/info?ehid=0de6dd266022729&from=list_regular
武廟/福德商圈4+5樓寧靜美公寓,https://www.rakuya.com.tw/sell_item/info?ehid=0c333a261314420&from=list_regular
英明國中超值店面超美住宅﹝騎樓可停車﹞,https://www.rakuya.com.tw/sell_item/info?ehid=0be434276507395&from=list_regular
正文化中心邊間三角窗吃市店面,https://www.rakuya.com.tw/sell_item/info?ehid=01ae0427600417d&from=list_regular
捷運商圈新整美寓,https://www.rakuya.com.tw/sell_item/info?ehid=09110d279282341&from=list_regular
C30科工館站質感翻新三房,https://www.rakuya.com.tw/sell_item/info?ehid=0aa396269476708&from=list_regular
1113苓雅區✨英明商圈✨超便宜公寓2樓,https://www.rakuya.com.tw/sell_item/info?ehid=0988e127857821f&from=list_regular
正義車站優質公寓3房,https://www.rakuya.com.tw/sell_item/info?ehid=053b79252943486&from=list_regular
武廟雙捷運三房+平面車位,https://www.rakuya.com.tw/sell_item/info?ehid=012803270915712&from=list_regular
光華商圈翻新一樓車庫美寓,https://www.rakuya.com.tw/sell_item/info?ehid=08e0df275957791&from=list_regular
凱旋輕軌三面採光3套房大公寓,https://www.rakuya.com.tw/sell_item/info?ehid=06213528142157a&from=list_regular
文化中心美3房,https://www.rakuya.com.tw/sell_item/info?ehid=09754b281055372&from=list_regular
衛武營全新翻修大3房,https://www.rakuya.com.tw/sell_item/info?ehid=0ce06228171505f&from=list_regular
輕軌環球影城四房邊間公寓一樓,https://www.rakuya.com.tw/sell_item/info?ehid=048f2525484982e&from=list_regular
✨亞洲新灣區｜輕軌宅 ｜價格超甜✨ 4房美寓️,https://www.rakuya.com.tw/sell_item/info?ehid=069613280801586&from=list_regular
✅極力推薦✅英明國中公寓一樓(有故事的房),https://www.rakuya.com.tw/sell_item/info?ehid=001bc0267600276&from=list_regular
英明國中一樓整新門口停車美寓,https://www.rakuya.com.tw/sell_item/info?ehid=06aeeb267324174&from=list_regular
輕軌凱旋二聖站翻新面寬店住一樓+夾層,https://www.rakuya.com.tw/sell_item/info?ehid=054740263136103&from=list_regular
市政府 國民市場全翻新大兩房雙衛浴美寓,https://www.rakuya.com.tw/sell_item/info?ehid=0f306727999139c&from=list_regular
武廟商圈公寓一樓平車,https://www.rakuya.com.tw/sell_item/info?ehid=0de6dd266022729&from=list_regular
武廟/福德商圈4+5樓寧靜美公寓,https://www.rakuya.com.tw/sell_item/info?ehid=0c333a261314420&from=list_regular
英明國中超值店面超美住宅﹝騎樓可停車﹞,https://www.rakuya.com.tw/sell_item/info?ehid=0be434276507395&from=list_regular
正文化中心邊間三角窗吃市店面,https://www.rakuya.com.tw/sell_item/info?ehid=01ae0427600417d&from=list_regular
捷運商圈新整美寓,https://www.rakuya.com.tw/sell_item/info?ehid=09110d279282341&from=list_regular
C30科工館站質感翻新三房,https://www.rakuya.com.tw/sell_item/info?ehid=0aa396269476708&from=list_regular
1113苓雅區✨英明商圈✨超便宜公寓2樓,https://www.rakuya.com.tw/sell_item/info?ehid=0988e127857821f&from=list_regular
正義車站優質公寓3房,https://www.rakuya.com.tw/sell_item/info?ehid=053b79252943486&from=list_regular
武廟雙捷運三房+平面車位,https://www.rakuya.com.tw/sell_item/info?ehid=012803270915712&from=list_regular
光華商圈翻新一樓車庫美寓,https://www.rakuya.com.tw/sell_item/info?ehid=08e0df275957791&from=list_regular
凱旋輕軌三面採光3套房大公寓,https://www.rakuya.com.tw/sell_item/info?ehid=06213528142157a&from=list_regular
文化中心美3房,https://www.rakuya.com.tw/sell_item/info?ehid=09754b281055372&from=list_regular
衛武營全新翻修大3房,https://www.rakuya.com.tw/sell_item/info?ehid=0ce06228171505f&from=list_regular
輕軌環球影城四房邊間公寓一樓,https://www.rakuya.com.tw/sell_item/info?ehid=048f2525484982e&from=list_regular
✨亞洲新灣區｜輕軌宅 ｜價格超甜✨ 4房美寓️,https://www.rakuya.com.tw/sell_item/info?ehid=069613280801586&from=list_regular
✅極力推薦✅英明國中公寓一樓(有故事的房),https://www.rakuya.com.tw/sell_item/info?ehid=001bc0267600276&from=list_regular
英明國中一樓整新門口停車美寓,https://www.rakuya.com.tw/sell_item/info?ehid=06aeeb267324174&from=list_regular
輕軌凱旋二聖站翻新面寬店住一樓+夾層,https://www.rakuya.com.tw/sell_item/info?ehid=054740263136103&from=list_regular
市政府 國民市場全翻新大兩房雙衛浴美寓,https://www.rakuya.com.tw/sell_item/info?ehid=0f306727999139c&from=list_regular
武廟商圈公寓一樓平車,https://www.rakuya.com.tw/sell_item/info?ehid=0de6dd266022729&from=list_regular
武廟/福德商圈4+5樓寧靜美公寓,https://www.rakuya.com.tw/sell_item/info?ehid=0c333a261314420&from=list_regular
英明國中超值店面超美住宅﹝騎樓可停車﹞,https://www.rakuya.com.tw/sell_item/info?ehid=0be434276507395&from=list_regular
正文化中心邊間三角窗吃市店面,https://www.rakuya.com.tw/sell_item/info?ehid=01ae0427600417d&from=list_regular
捷運商圈新整美寓,https://www.rakuya.com.tw/sell_item/info?ehid=09110d279282341&from=list_regular
C30科工館站質感翻新三房,https://www.rakuya.com.tw/sell_item/info?ehid=0aa396269476708&from=list_regular
1113苓雅區✨英明商圈✨超便宜公寓2樓,https://www.rakuya.com.tw/sell_item/info?ehid=0988e127857821f&from=list_regular
正義車站優質公寓3房,https://www.rakuya.com.tw/sell_item/info?ehid=053b79252943486&from=list_regular
武廟雙捷運三房+平面車位,https://www.rakuya.com.tw/sell_item/info?ehid=012803270915712&from=list_regular
光華商圈翻新一樓車庫美寓,https://www.rakuya.com.tw/sell_item/info?ehid=08e0df275957791&from=list_regular
凱旋輕軌三面採光3套房大公寓,https://www.rakuya.com.tw/sell_item/info?ehid=06213528142157a&from=list_regular
文化中心美3房,https://www.rakuya.com.tw/sell_item/info?ehid=09754b281055372&from=list_regular
衛武營全新翻修大3房,https://www.rakuya.com.tw/sell_item/info?ehid=0ce06228171505f&from=list_regular
輕軌環球影城四房邊間公寓一樓,https://www.rakuya.com.tw/sell_item/info?ehid=048f2525484982e&from=list_regular
✨亞洲新灣區｜輕軌宅 ｜價格超甜✨ 4房美寓️,https://www.rakuya.com.tw/sell_item/info?ehid=069613280801586&from=list_regular
✅極力推薦✅英明國中公寓一樓(有故事的房),https://www.rakuya.com.tw/sell_item/info?ehid=001bc0267600276&from=list_regular
英明國中一樓整新門口停車美寓,https://www.rakuya.com.tw/sell_item/info?ehid=06aeeb267324174&from=list_regular
輕軌凱旋二聖站翻新面寬店住一樓+夾層,https://www.rakuya.com.tw/sell_item/info?ehid=054740263136103&from=list_regular
市政府 國民市場全翻新大兩房雙衛浴美寓,https://www.rakuya.com.tw/sell_item/info?ehid=0f306727999139c&from=list_regular
武廟商圈公寓一樓平車,https://www.rakuya.com.tw/sell_item/info?ehid=0de6dd266022729&from=list_regular
武廟/福德商圈4+5樓寧靜美公寓,https://www.rakuya.com.tw/sell_item/info?ehid=0c333a261314420&from=list_regular
英明國中超值店面超美住宅﹝騎樓可停車﹞,https://www.rakuya.com.tw/sell_item/info?ehid=0be434276507395&from=list_regular
正文化中心邊間三角窗吃市店面,https://www.rakuya.com.tw/sell_item/info?ehid=01ae0427600417d&from=list_regular
捷運商圈新整美寓,https://www.rakuya.com.tw/sell_item/info?ehid=09110d279282341&from=list_regular
C30科工館站質感翻新三房,https://www.rakuya.com.tw/sell_item/info?ehid=0aa396269476708&from=list_regular
