Name,Price,Size,Age,Floors,Bedroom,City,Location,HouseType,Pattern,Tags,Environment
出租店面辦公室倉庫,25000,40,40,1,0,新北市,新北市中和區中正路,公寓,,,['有對外窗']
整層出租\/2房2衛1廳\/交流道直上\/小家庭或情侶,24000,30,2,3,2,高雄市,高雄市前鎮區福民街/草衙精讚,樓中樓,2房1廳2衛 - 1陽台1廚房,,"['有對外窗', '樓中樓', '陽台']"
三重永福街華夏\/方正四房\/近學區,33000,37,0,2,4,新北市,新北市三重區永福街,華廈,4房2廳2衛 - 1廚房,,
文化路門牌、正三角窗金店面,88000,34.23,0.1,1,0,新北市,新北市板橋區文化路二段/文化風華,電梯大廈,,,
生活樂章｜大灣｜免仲介，新整理3房公寓,18000,34,0,3,3,台南市,台南市永康區永華路/生活樂章,電梯大廈,3房2廳2衛,,['陽台']
仲介勿擾 大空間，機能好，1房一廳一衛,18000,15,0,2,1,台北市,台北市萬華區環河南路二段,透天厝,1房1廳1衛,,
✨小芸租屋 西屯文華悅挑高3.6米平車 美美二房,28000,25,2,2,2,台中市,台中市西屯區合江街/文華悅,電梯大廈,2房2廳1衛 - 1陽台,,
中國醫套房，舊宿舍對面，新裝潢及家電，滿滿系統櫃,21000,13,45,4,1,台中市,台中市北區五常街,透天厝,1房1廳1衛 - 1陽台,,"['有對外窗', '為邊間', '陽台']"
雲林縣斗六市最美新店面，兩面窗雙面臨路、前有公園。,38000,25.24,0.1,1,0,雲林縣,雲林縣斗六市正義一街/勝麗進行曲禧悅區,電梯大廈,,,"['有對外窗', '有中庭']"
美麗華高樓景觀2房2衛,55000,25.91,11,14,2,台北市,台北市中山區北安路/大直WINN,電梯大廈,2房2廳2衛 - 1陽台1廚房,,"['有對外窗', '為邊間', '樓中樓', '陽台']"
✨ 小芸租屋 便宜三房平車可寵 寵物友善可租補,27000,45,1,13,3,台中市,台中市烏日區高鐵路二段/夢幻誠,電梯大廈,3房2廳2衛 - 1陽台,,
✨小芸租屋 高鐵二房全配平車有浴缸高級公設,21000,28,1,7,2,台中市,台中市烏日區高鐵路二段/夢幻誠,電梯大廈,2房2廳1衛 - 1陽台,,
永和中正路與福和路口大樓，地下機械停車位,3500,6,0,0,0,新北市,新北市永和區中正路/第一世家,車位,,,
小芸租屋 機捷特區便宜二房二陽台平車,24000,38,1,2,2,台中市,台中市北屯區敦富一街/富宇富好,電梯大廈,2房2廳1衛 - 2陽台,,
景安捷運旁~~電梯雅房(限女性房客) ,5500,6,24.4,2,1,新北市,新北市中和區景平路,電梯大廈,1房1廳1衛 - 1陽台1廚房,,"['有對外窗', '有中庭', '陽台']"
康和國際純辦大樓 200坪出租,380000,176.7,32.5,11,0,台北市,台北市信義區基隆路一段/康和國際大樓,辦公,,,"['有對外窗', '為邊間', '陽台']"
大順黃金三角窗\/品牌旗艦店首選,250000,15.91,0,1,0,高雄市,高雄市三民區民族一路,透天厝,,,
❤️超便宜濟世街四房大間屋況佳明火新時代旁邊可寵,15000,32,0,6,4,台中市,台中市南區濟世街,公寓,4房2廳1衛 - 1陽台,,
全新裝潢透天住宅獨立套房,8000,8,0,2,1,高雄市,高雄市楠梓區清平街,透天厝,1房1廳1衛,,
❤️超美總統閣廈獨洗晒有視野大套房❤️,8500,9.05,30,9,1,台中市,台中市北屯區天津路四段/總統閣廈,電梯大廈,1房1廳1衛,,"['有對外窗', '有中庭', '陽台']"
生活房屋★民有十六街透天分套★可租補、養貓,14000,12,44,3,0,桃園市,桃園市桃園區民有十六街,透天厝,開放式格局,,"['有對外窗', '陽台']"
馬偕雙連◆３房全新美屋,66000,22.27,0,8,1,台北市,台北市中山區中山北路二段,其他,1房2廳1衛,,
東原苑裝潢大邊間３房,48500,37.76,0,2,3,台北市,台北市萬華區民和街,華廈,3房2廳2衛,,
正光華夜市餐飲街首選 搶租僅此一席,45000,43.79,50,3,0,高雄市,高雄市前鎮區光華二路,透天厝,,,['有對外窗']
全新未住多間✨送平面車位✨雙人加大床✨台積電,11400,10,0.5,5,1,台中市,台中市大雅區中清路四段,電梯大廈,1房1衛 - 1陽台,,
女生宿舍可貓狗✨大兩房陽台獨洗曬✨近中興大學,12000,20,0,3,2,台中市,台中市南區信義南街,透天厝,2房1廳1衛 - 1陽台1廚房,,
可貓可短租✨大空間小資房✨陽台獨洗曬,6500,10,0,3,1,台中市,台中市龍井區新興路,透天厝,1房1衛 - 1陽台,,
鴻築由心8米寬1+2樓店面,60000,26.23,12,2,0,桃園市,桃園市桃園區大興路/鴻築由心,電梯大廈,,,['有對外窗']
冠倫邊間大棟距大主臥3改2房車,20000,25.64,29,5,2,桃園市,桃園市桃園區大有路/冠倫大國,電梯大廈,2房2廳2衛 - 1陽台1廚房,,"['有對外窗', '為邊間', '有中庭', '陽台']"
皇龍天澍質感2房高樓景觀宅附車位,25000,34.36,0,10,2,台南市,台南市仁德區文孝路/天澍,電梯大廈,2房2廳1衛 - 1陽台,,"['有對外窗', '有中庭', '陽台']"
杜拜美學13米寬雙店面+雙車位,125000,51.95,10,1,0,桃園市,桃園市桃園區大有路/璟都杜拜美學,電梯大廈,,,"['有對外窗', '陽台']"
全新可寵⚡流理臺⚡近水湳經貿園區⚡近捷運站,11999,13,0,2,1,台中市,台中市北區中清路一段,公寓,1房1衛 - 1陽台,,"['有對外窗', '陽台']"
