Name,Price,Size,Age,Floors,Bedroom,City,Location,HouseType,Pattern,Tags,Environment,Url
明星學區，八德路三段光復北路,29800,40,40,4,3,台北市,台北市松山區八德路三段,公寓,3房2廳2衛 - 1陽台1廚房,,['為邊間'],https://www.rakuya.com.tw/rent/rent_item?ehid=07b84d287194461
極美精品裝潢! 中山區高質感電梯3房~24H管理,43000,14.97,43.3,3,3,台北市,台北市中山區新生北路三段/世紀大樓,電梯大廈,3房1廳1衛 - 1陽台,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=0b1e5128670820b
安南區l果菜市場4房透天,23000,38.25,35,0,4,台南市,台南市安南區本原街一段,透天厝,4房2廳2衛 - 3陽台1廚房,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=0ebe6128616604f
忠福（近中壢工業區） 溫馨2+1房有車位,26000,28.8,0,7,3,桃園市,桃園市中壢區福安二街/雅緻名園2,華廈,3房2廳2衛 - 1陽台1廚房,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=0e9f72286185134
臺灣大道.黃金店面.交通便捷.生活機能佳.繁榮商業,50000,75,0,0,0,台中市,台中市西屯區臺灣大道二段,透天厝,,,"['為邊間', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=0fe7c628606881a
竹北乙種工業地（面寬55米、臨20米）,350000,935,0,0,0,新竹縣,新竹縣竹北市新工三路,工業用地,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=09990c28541711f
福林橋地標獨棟透天稀有黃金店面,230000,150,0,3,0,台北市,台北市士林區中山北路五段,透天厝,,,['有對外窗'],https://www.rakuya.com.tw/rent/rent_item?ehid=0009d228550428b
❤️超便宜濟世街四房大間屋況佳明火新時代旁邊可寵,15000,32,0,6,4,台中市,台中市南區濟世街,公寓,4房2廳1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=01e15627478475b
景安捷運旁~~電梯雅房(限女性房客),5500,6,24.5,2,1,新北市,新北市中和區景平路,電梯大廈,1房1廳1衛 - 1陽台1廚房,,"['有對外窗', '有中庭', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=0e0b866174092b
出租店面辦公室倉庫,25000,40,40,1,0,新北市,新北市中和區中正路,公寓,,,['有對外窗'],https://www.rakuya.com.tw/rent/rent_item?ehid=0f0137284990391
三重永福街華夏/方正四房/近學區,33000,37,0,2,4,新北市,新北市三重區永福街,華廈,4房2廳2衛 - 1廚房,,,https://www.rakuya.com.tw/rent/rent_item?ehid=02492528506828f
綏遠路機能套房,5500,5,0,5,1,台中市,台中市北屯區綏遠路二段,公寓,1房1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0e0886228571906
科定A3商辦大樓鄰近A3捷運站新莊全新裝潢辦公室,184800,100,0,11,0,新北市,新北市新莊區福慧路,辦公,,,['陽台'],https://www.rakuya.com.tw/rent/rent_item?ehid=0e27b5274283935
永和中正路與福和路口大樓，地下機械停車位,3500,6,0,0,0,新北市,新北市永和區中正路/第一世家,車位,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0dc024283728761
