Name,Price,Size,Age,Floors,Bedroom,City,Location,HouseType,Pattern,Tags,Environment,Url
明星學區，八德路三段光復北路,29800,40.0,40.0,4,3,台北市,台北市松山區八德路三段,公寓,3房2廳2衛 - 1陽台1廚房,,['為邊間'],https://www.rakuya.com.tw/rent/rent_item?ehid=07b84d287194461
極美精品裝潢! 中山區高質感電梯3房~24H管理,43000,14.97,43.3,3,3,台北市,台北市中山區新生北路三段/世紀大樓,電梯大廈,3房1廳1衛 - 1陽台,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=0b1e5128670820b
安南區l果菜市場4房透天,23000,38.25,35.0,0,4,台南市,台南市安南區本原街一段,透天厝,4房2廳2衛 - 3陽台1廚房,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=0ebe6128616604f
忠福（近中壢工業區） 溫馨2+1房有車位,26000,28.8,0.0,7,3,桃園市,桃園市中壢區福安二街/雅緻名園2,華廈,3房2廳2衛 - 1陽台1廚房,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=0e9f72286185134
臺灣大道.黃金店面.交通便捷.生活機能佳.繁榮商業,50000,75.0,0.0,0,0,台中市,台中市西屯區臺灣大道二段,透天厝,,,"['為邊間', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=0fe7c628606881a
竹北乙種工業地（面寬55米、臨20米）,350000,935.0,0.0,0,0,新竹縣,新竹縣竹北市新工三路,工業用地,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=09990c28541711f
福林橋地標獨棟透天稀有黃金店面,230000,150.0,0.0,3,0,台北市,台北市士林區中山北路五段,透天厝,,,['有對外窗'],https://www.rakuya.com.tw/rent/rent_item?ehid=0009d228550428b
❤️超便宜濟世街四房大間屋況佳明火新時代旁邊可寵,15000,32.0,0.0,6,4,台中市,台中市南區濟世街,公寓,4房2廳1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=01e15627478475b
景安捷運旁~~電梯雅房(限女性房客),5500,6.0,24.5,2,1,新北市,新北市中和區景平路,電梯大廈,1房1廳1衛 - 1陽台1廚房,,"['有對外窗', '有中庭', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=0e0b866174092b
出租店面辦公室倉庫,25000,40.0,40.0,1,0,新北市,新北市中和區中正路,公寓,,,['有對外窗'],https://www.rakuya.com.tw/rent/rent_item?ehid=0f0137284990391
三重永福街華夏/方正四房/近學區,33000,37.0,0.0,2,4,新北市,新北市三重區永福街,華廈,4房2廳2衛 - 1廚房,,,https://www.rakuya.com.tw/rent/rent_item?ehid=02492528506828f
綏遠路機能套房,5500,5.0,0.0,5,1,台中市,台中市北屯區綏遠路二段,公寓,1房1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0e0886228571906
科定A3商辦大樓鄰近A3捷運站新莊全新裝潢辦公室,184800,100.0,0.0,11,0,新北市,新北市新莊區福慧路,辦公,,,['陽台'],https://www.rakuya.com.tw/rent/rent_item?ehid=0e27b5274283935
永和中正路與福和路口大樓，地下機械停車位,3500,6.0,0.0,0,0,新北市,新北市永和區中正路/第一世家,車位,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0dc024283728761
小資/學生首選**靜宜旁走路5分鐘**獨立套房,6500,12.0,15.2,4,1,台中市,台中市沙鹿區晉文路,透天厝,1房1衛 - 1陽台,,"['有對外窗', '為邊間', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=00367327932652e
生活樂章｜大灣｜免仲介，新整理3房公寓,18000,34.0,0.0,3,3,台南市,台南市永康區永華路/生活樂章,電梯大廈,3房2廳2衛,,['陽台'],https://www.rakuya.com.tw/rent/rent_item?ehid=028c72284717775
小芸租屋 機捷特區便宜二房二陽台平車,24000,38.0,1.1,2,2,台中市,台中市北屯區敦富一街/富宇富好,電梯大廈,2房2廳1衛 - 2陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0ba9c9283545892
可短租｜水湳｜瑞恩悅居❤️家具全配｜全新未住,29999,20.0,0.5,4,3,台中市,台中市西屯區中康街/瑞恩悦琚,電梯大廈,3房2廳2衛 - 2陽台1廚房,,"['有對外窗', '為邊間', '有中庭', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=0feb3f285192731
✨ 小芸租屋 便宜三房平車可寵 寵物友善可租補,27000,45.0,1.1,13,3,台中市,台中市烏日區高鐵路二段/夢幻誠,電梯大廈,3房2廳2衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=082791283827794
可租補✅陽台獨洗曬⛅子母車✨衛浴窗❤IG看更多,6999,10.0,0.0,3,1,台中市,台中市西屯區福上巷,透天厝,1房1衛 - 1陽台,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=095ce6287327447
豐原可租補✨可戶籍✨免治馬桶✨柚木家具,13999,15.0,0.0,5,1,台中市,台中市豐原區豐原大道七段,電梯大廈,1房1廳1衛 - 1陽台,,"['有對外窗', '陽台']",https://www.rakuya.com.tw/rent/rent_item?ehid=034f52287326981
仁德大馬路邊挑高7米廠房,27000,70.0,0.0,1,0,台南市,台南市仁德區中正路二段,廠房,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0f164628732565b
